month,product_group_name,product_group_id,market_revenue,revenue_amazon
2019-01-01,Portable Computers,1,12019564896.0,2693122572.620039
2019-01-02,Portable Computers,1,13345161402.0,2870767689.431639
2019-01-03,Portable Computers,1,14525049105.0,3325878389.8907437
2019-01-04,Portable Computers,1,9928832708.0,2075048267.527809
2019-01-05,Portable Computers,1,15361999191.0,3951116801.143776
2019-01-06,Portable Computers,1,12070273923.0,2775125422.346777
2019-01-07,Portable Computers,1,11098390960.0,2792504790.264429
2019-01-08,Portable Computers,1,12497779596.0,3272334381.67964
2019-01-09,Portable Computers,1,10815403115.0,2838816342.518396
2019-01-10,Portable Computers,1,12753273156.0,3780185469.243869
2019-01-11,Portable Computers,1,13480225940.0,3917470169.1857166
2019-01-12,Portable Computers,1,14796370063.0,3713746606.540209
2020-01-01,Portable Computers,1,15994109698.0,3279647889.337516
2020-01-02,Portable Computers,1,15527020474.0,3624005069.052716
2020-01-03,Portable Computers,1,11724383592.0,2946249562.373669
2020-01-04,Portable Computers,1,13396723535.0,3226640612.2246585
2020-01-05,Portable Computers,1,14253477749.0,3899306832.5387583
2020-01-06,Portable Computers,1,9830586732.0,2592284698.80662
2020-01-07,Portable Computers,1,12117319877.0,3578771829.280262
2020-01-08,Portable Computers,1,13291345859.0,2908857566.2082973
2020-01-09,Portable Computers,1,14118470453.0,3348924432.192929
2020-01-10,Portable Computers,1,13067190775.0,3119691789.786493
2020-01-11,Portable Computers,1,14699975120.0,3123258188.9539437
2020-01-12,Portable Computers,1,12375427632.0,2476813117.644738
2021-01-01,Portable Computers,1,13057950023.0,3493495783.9971437
2021-01-02,Portable Computers,1,11111003999.0,2634598204.6459155
2021-01-03,Portable Computers,1,14031901561.0,3839350423.1555657
2021-01-04,Portable Computers,1,10380593792.0,3104481676.24608
2021-01-05,Portable Computers,1,15378128700.0,3176849860.316755
2021-01-06,Portable Computers,1,11828363107.0,2660298205.9198527
2021-01-07,Portable Computers,1,15293257504.0,3429163247.729028
2021-01-08,Portable Computers,1,10447152656.0,2499406412.312125
2021-01-09,Portable Computers,1,11708643910.0,2950530670.1004167
2021-01-10,Portable Computers,1,10956963163.0,2622995814.2633886
2021-01-11,Portable Computers,1,10138125415.0,2358959882.298829
2021-01-12,Portable Computers,1,9607839423.0,1977226962.992274
2022-01-01,Portable Computers,1,11954766126.0,3256039041.982645
2022-01-02,Portable Computers,1,9683200258.0,2456921496.4611044
2022-01-03,Portable Computers,1,15185164073.0,4490312142.669271
2022-01-04,Portable Computers,1,9288054219.0,2328054239.720825
2022-01-05,Portable Computers,1,11999182444.0,3473792844.8340235
2022-01-06,Portable Computers,1,14958800992.0,3993097673.276078
2022-01-07,Portable Computers,1,13623642753.0,4064418591.302151
2022-01-08,Portable Computers,1,12200860728.0,3448091259.8393383
2022-01-09,Portable Computers,1,11488161694.0,2655080946.0561223
2022-01-10,Portable Computers,1,10952611060.0,2255140656.705955
2022-01-11,Portable Computers,1,14690752005.0,3187286235.5041566
2022-01-12,Portable Computers,1,9308553010.0,2031717871.344111
2023-01-01,Portable Computers,1,15932476447.0,4432829331.341723
2023-01-02,Portable Computers,1,13698741281.0,2882132106.547518
2023-01-03,Portable Computers,1,15306387365.0,4151035566.156612
2023-01-04,Portable Computers,1,12726820544.0,3427618106.4810224
2023-01-05,Portable Computers,1,15261913992.0,4170646867.3266582
2023-01-06,Portable Computers,1,9704901799.0,2092219782.7522533
2023-01-07,Portable Computers,1,15381489963.0,4531929176.555774
2023-01-08,Portable Computers,1,9733901611.0,2535144036.408846
2023-01-09,Portable Computers,1,10894407659.0,2242820483.3979816
2023-01-10,Portable Computers,1,10482379841.0,3139429387.374594
2023-01-11,Portable Computers,1,13944962534.0,2847721420.415175
2023-01-12,Portable Computers,1,13695103272.0,3946543598.001423
2024-01-01,Portable Computers,1,10336690053.0,2347098590.072133
2024-01-02,Portable Computers,1,13490880387.0,3466349365.8945866
2024-01-03,Portable Computers,1,10409513089.0,2823902841.463323
2024-01-04,Portable Computers,1,12803696659.0,2688939362.3385267
2024-01-05,Portable Computers,1,15375171601.0,4192779901.424637
2024-01-06,Portable Computers,1,14027147983.0,3212741524.2564306
2024-01-07,Portable Computers,1,11863369879.0,2851323480.2532725
2024-01-08,Portable Computers,1,9231761754.0,2128098607.3468635
2024-01-09,Portable Computers,1,12766818588.0,3398142997.14996
2024-01-10,Portable Computers,1,15330625563.0,3385317209.389525
2024-01-11,Portable Computers,1,13538682978.0,3663388402.51152
2024-01-12,Portable Computers,1,11284971786.0,2714163331.5553093
2025-01-01,Portable Computers,1,13265564880.646254,3154166783.0002565
2025-01-02,Portable Computers,1,14668007710.46142,3805619583.081712
2025-01-03,Portable Computers,1,12350904625.17419,3316071786.33664
2025-01-04,Portable Computers,1,13476438146.563488,3599456961.474554
2025-01-05,Portable Computers,1,12128670574.7356,3212527655.443709
2025-01-06,Portable Computers,1,10991459863.45507,2836487681.4757786
2025-01-07,Portable Computers,1,12391200126.687695,3248225247.2802925
2025-01-08,Portable Computers,1,12472632217.01242,3034156096.7076883
2025-01-09,Portable Computers,1,14105646049.341597,3617577006.2521653
2025-01-10,Portable Computers,1,11880529018.095228,3050578116.5469236
2025-01-11,Portable Computers,1,12904822094.045984,3233941733.70053
2025-01-12,Portable Computers,1,11212642784.373472,2711745210.155424
2019-01-01,Cooling Systems,2,6934263789.0,487996983.4727754
2019-01-02,Cooling Systems,2,7398825862.0,561614069.835886
2019-01-03,Cooling Systems,2,5983515686.0,574871667.7849265
2019-01-04,Cooling Systems,2,5289632398.0,484823295.49930114
2019-01-05,Cooling Systems,2,5587144628.0,449451404.6197114
2019-01-06,Cooling Systems,2,4587210728.0,342934626.09179884
2019-01-07,Cooling Systems,2,6142296543.0,599156689.2052039
2019-01-08,Cooling Systems,2,6857939973.0,624291435.8606733
2019-01-09,Cooling Systems,2,4124448580.0,318179998.4343331
2019-01-10,Cooling Systems,2,7517831588.0,647339742.1236695
2019-01-11,Cooling Systems,2,5783524919.0,495397276.9225731
2019-01-12,Cooling Systems,2,6224743734.0,475724349.2859479
2020-01-01,Cooling Systems,2,6689106830.0,574813667.0999179
2020-01-02,Cooling Systems,2,4036519833.0,330145323.5381413
2020-01-03,Cooling Systems,2,6696628519.0,494195719.1938504
2020-01-04,Cooling Systems,2,7068078577.0,647720805.8000083
2020-01-05,Cooling Systems,2,6874805329.0,576933959.7415115
2020-01-06,Cooling Systems,2,7330128081.0,521660087.6165004
2020-01-07,Cooling Systems,2,5539396912.0,483993427.2423292
2020-01-08,Cooling Systems,2,7637321876.0,761680467.8060606
2020-01-09,Cooling Systems,2,7049378303.0,613683607.4836566
2020-01-10,Cooling Systems,2,6849282754.0,610875460.7329683
2020-01-11,Cooling Systems,2,6762037130.0,495932043.3567988
2020-01-12,Cooling Systems,2,5178442338.0,397028894.76782167
2021-01-01,Cooling Systems,2,6834325286.0,485803910.30617976
2021-01-02,Cooling Systems,2,5744786105.0,565271444.2986177
2021-01-03,Cooling Systems,2,4022594673.0,399133826.49585664
2021-01-04,Cooling Systems,2,7591670147.0,612998304.9426993
2021-01-05,Cooling Systems,2,6855024442.0,679912795.9808133
2021-01-06,Cooling Systems,2,6374057357.0,449150671.9137924
2021-01-07,Cooling Systems,2,4320356839.0,415207954.4544018
2021-01-08,Cooling Systems,2,5065055112.0,373148524.057913
2021-01-09,Cooling Systems,2,4027745295.0,391705795.7435039
2021-01-10,Cooling Systems,2,4923261111.0,465242101.2948582
2021-01-11,Cooling Systems,2,7942382220.0,636270854.0757931
2021-01-12,Cooling Systems,2,7826218055.0,705732926.2228289
2022-01-01,Cooling Systems,2,4963367805.0,386339381.2137337
2022-01-02,Cooling Systems,2,6268938426.0,457880707.95358473
2022-01-03,Cooling Systems,2,4944808414.0,355246695.2122196
2022-01-04,Cooling Systems,2,5538105697.0,457227680.9478327
2022-01-05,Cooling Systems,2,6516134449.0,584691722.9318343
2022-01-06,Cooling Systems,2,7324823177.0,673072544.4703788
2022-01-07,Cooling Systems,2,4480181134.0,439327053.9388826
2022-01-08,Cooling Systems,2,4965908169.0,416358949.4444598
2022-01-09,Cooling Systems,2,6396880618.0,480829251.8238096
2022-01-10,Cooling Systems,2,4632823684.0,328705419.625428
2022-01-11,Cooling Systems,2,5134425887.0,491692848.043453
2022-01-12,Cooling Systems,2,5516367221.0,535219553.9918984
2023-01-01,Cooling Systems,2,4542215947.0,366376879.9270493
2023-01-02,Cooling Systems,2,7493250615.0,733981087.0977459
2023-01-03,Cooling Systems,2,7861376542.0,597998564.3105685
2023-01-04,Cooling Systems,2,7426079096.0,609158171.4591385
2023-01-05,Cooling Systems,2,7224209524.0,648478719.1331075
2023-01-06,Cooling Systems,2,5501041136.0,512304832.64479
